fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36077,2018,Q1,1,8073,10648.0,9000.0,96.0,1552.0,2,0.0,Otsego County,42.629776,-75.028841,,,,,,,60979.0,49689.0,16.318703965878747,4.196526673116974,18.534249495728037,2016,0.60979,90,27.716111111111108,13.257,44.621,0,78,57,2017,0,0,0,0,0,0,0,upstate,17461.749126748553
36079,2018,Q1,1,8073,6750.0,5528.0,57.0,1165.0,1,0.0,Putnam County,41.427907,-73.743861,,,,,,,99408.0,97606.0,5.159810368557884,4.527804603251248,14.855947207468212,2016,0.99408,90,32.89388888888889,10.297,32.245,0,70,40,2017,0,0,0,0,0,0,0,upstate,6790.197971994206
36081,2018,Q1,1,8073,180453.0,116527.0,230.0,21656.0,10,42040.0,Queens County,40.654658,-73.841209,,,,,,,2310011.0,59758.0,14.626609960569537,6.2611823060582825,13.673224932695124,2016,23.10011,90,37.42111111111111,9.51,24.806,0,49,40,2017,0,0,0,0,0,1,0,nyc,7811.780982861121
36083,2018,Q1,1,8073,11272.0,9366.0,76.0,1830.0,2,0.0,Rensselaer County,42.710421,-73.513845,,,,,,,159959.0,61754.0,12.36653303753292,5.3757525365875,15.103245206584187,2016,1.59959,90,28.385555555555552,12.036,43.213,0,75,49,2017,0,0,0,0,0,0,0,upstate,7046.805743971893
36085,2018,Q1,1,8073,41458.0,14363.0,118.0,2260.0,3,24717.0,Richmond County,40.561263,-74.1399,,,,,,,473324.0,74021.0,12.940950100483176,5.793071976067134,14.536976785457743,2016,4.73324,90,37.846666666666664,11.551,24.913,0,46,40,2017,0,0,0,0,0,1,0,nyc,8758.905105171087
36087,2018,Q1,1,8073,23386.0,18998.0,182.0,4206.0,2,0.0,Rockland County,41.154628,-74.024662,,,,,,,322642.0,86134.0,14.509538713178049,7.482906751135935,14.865392602327038,2016,3.22642,90,35.075,10.805,29.849999999999998,0,56,44,2017,0,0,0,0,0,0,1,downstate_non_nyc,7248.281376882117
36089,2018,Q1,1,8073,14774.0,12524.0,104.0,1752.0,5,394.0,St. Lawrence County,44.488112,-75.074311,,,,,,,111529.0,46313.0,19.202050148233756,5.368110536273077,15.383442871360812,2016,1.11529,90,26.441666666666666,12.559,41.727,0,77,61,2017,0,0,0,0,0,0,0,upstate,13246.7788646899
36091,2018,Q1,1,8073,9153.0,7176.0,107.0,1870.0,1,0.0,Saratoga County,43.106135,-73.855387,,,,,,,224929.0,74080.0,6.43326277428508,5.2145343641771404,15.785425623196653,2016,2.24929,90,28.863888888888887,11.77,48.563,0,75,50,2017,0,0,0,0,0,0,0,upstate,4069.2840852002187
36093,2018,Q1,1,8073,16522.0,13675.0,46.0,2785.0,2,16.0,Schenectady County,42.817552,-74.043559,,,,,,,154845.0,59959.0,11.964956692887295,5.910426555587846,15.724757015079597,2016,1.54845,90,30.095555555555556,11.693999999999999,40.376,0,77,49,2017,0,0,0,0,0,0,0,upstate,10670.024863573251
36097,2018,Q1,1,8073,1705.0,1685.0,0.0,20.0,1,0.0,Schuyler County,42.419776,-76.938603,,,,,,,18336.0,47229.0,14.629101682598245,4.657504363001745,19.360820244328096,2016,0.18336,90,31.138333333333332,10.408,29.739,0,72,57,2017,0,0,0,0,0,0,0,upstate,9298.647469458987
36101,2018,Q1,1,8073,12173.0,6110.0,67.0,903.0,3,5093.0,Steuben County,42.266725,-77.385525,,,,,,,98151.0,48823.0,15.081009406207269,5.656590355676458,17.463907652494626,2016,0.98151,90,30.794444444444444,10.69,25.633,0,73,54,2017,0,0,0,0,0,0,0,upstate,12402.318876017565
36103,2018,Q1,1,8073,129416.0,84795.0,944.0,25528.0,11,18149.0,Suffolk County,40.943554,-72.692218,,,,,,,1498130.0,90128.0,7.254433420024059,5.402735410144647,15.249143932769519,2016,14.9813,90,37.04777777777778,9.213000000000001,30.261000000000003,0,49,38,2017,0,0,0,0,0,0,1,downstate_non_nyc,8638.502666657767
36105,2018,Q1,1,8073,6934.0,5306.0,27.0,793.0,2,808.0,Sullivan County,41.719993,-74.771577,,,,,,,75818.0,52027.0,17.11280546337182,5.71236381861827,16.7387691577198,2016,0.75818,90,30.32611111111111,10.802,35.333999999999996,0,75,47,2017,0,0,0,0,0,0,0,upstate,9145.585481020338
